district,name,address,website,contact,district_roman,type
District 11,Corvin Mátyás Gimnázium,"Budapest, Mátyás király tér 4, 1165",http://www.corvinsuli.hu/site/,,XI,gimnázium
District 11,Táncsics Mihály Gimnázium,"Budapest, Táncsics 7, 1165",http://tancsics16.hu/,,XI,gimnázium
District 11,Békésy György Szakgimnázium,"Budapest, Széchenyi u. 11, 1174",http://bekesy-iskola.hu/,,XI,szakgimnázium
District 11,Pál Apostol Katolikus Általános Iskola és Gimnázium,"Budapest, Pesti út 84, 1173",http://www.palapostol.hu/,,XI,gimnázium
District 11,Balassi Bálint Nyolcévfolyamos Gimnázium,"Budapest, Széchenyi u. 1-7, 1174",http://www.balassi-bp.hu/,,XI,gimnázium
District 11,Kőrösi Csoma Sándor Általános Iskola és Gimnázium,"Budapest, Akácvirág u. 49, 1173",http://www.kcss.hu/,,XI,gimnázium
District 11,Hunyadi Mátyás Gimnázium,"Budapest, Kossuth tér 2., 1183",,2011-ben megszűnt.,XI,gimnázium
District 11,Pestszentlőrinc-Pestszentimrei Felnőttek Általános Iskolája és Gimnáziuma,"Budapest Kondor Béla sétány 10., 1181",http://felgimi.hu/dp-tavoktato/?kezdolap,,XI,gimnázium
District 11,Karinthy Frigyes Gimnázium,"Budapest, Thököly út 7, 1183",http://www.karinthy.hu/pages/,,XI,gimnázium
District 11,Sztehlo Gábor Evangélikus Gimnázium,"Budapest, Kossuth Lajos tér 2, 1183",https://www.sztehloiskola.hu/,,XI,gimnázium
District 11,Vörösmarty Mihály Gimnázium Ének-zenei Nyelvi Általános Iskola és Gimnázium,"Budapest, Havanna u. 64, 1181",http://www.vmzene.hu/,,XI,gimnázium
District 11,Pestszentlőrinci Közgazdasági és Informatikai Szakgimnázium,"Budapest, Hengersor u. 34, 1184",http://www.hengersor.hu/index,,XI,szakgimnázium
District 11,Pogány Frigyes Szakgimnázium,"Budapest, Thököly út 11, 1183",http://www.poganysuli.hu/,,XI,szakgimnázium
District 11,Károlyi Mihály Magyar–Spanyol Tannyelvű Gimnázium,"Budapest, Simonyi Zsigmond u. 33, 1191",https://www.karolyigimnazium.com/,,XI,gimnázium
District 11,Trefort Ágoston Két Tanítási Nyelvű Szakgimnázium,"Budapest, Kossuth tér 12, 1191",https://www.trefort.eu/index.php?oldal=fooldal,,XI,szakgimnázium
District 11,Kispesti Deák Ferenc Gimnázium,"Budapest, Gutenberg krt. 6, 1192",https://kdfg.hu,,XI,gimnázium
District 11,Ganz Ábrahám Kéttannyelvű Szakgimnázium,"Budapest, Üllői út 303, 1195",https://www.ganziskola.hu/,,XI,szakgimnázium
District 11,Semmelweis Ignác Szakgimnázium,"Budapest, Csengő u. 1, 1194",https://semmelweis.hu/semmelweisiskola/,,XI,szakgimnázium
District 12,Kossuth Lajos Gimnázium,"Budapest, Ady Endre u. 142, 1204",https://www.klgbp.hu/,,XII,gimnázium
District 12,Nagy László Általános Iskola és Gimnázium,"Budapest, János u. 4, 1203",https://www.nagylaszlogimnazium.net/,,XII,gimnázium
District 12,Német Nemzetiségi Gimnázium,"Budapest, Serény u. 1, 1203",http://dng-bp.hu/,,XII,gimnázium
District 12,BGSZC Eötvös Loránd Szakgimnáziuma és Szakközépiskolája,"Budapest, Török Flóris u. 89, 1204",http://eotvosszki.hu/,,XII,szakgimnázium
District 12,Erzsébet Királyné Szépészeti Szakgimnázium,"Budapest, Kossuth Lajos utca 35, 1203",http://www.ipari12-bp.sulinet.hu/,,XII,szakgimnázium
District 12,Nagy-Szivárvány Alapítvány Szakképző Iskolája,"Budapest, Pöltenberg u. 8b, 1204",http://www.szivarvanyszakkepzo.hu/,,XII,
District 12,Pesterzsébeti Közgazdasági Szakgimnázium,"Budapest, Vörösmarty u. 30, 1201",http://www.vargaj-bp.sulinet.hu/news.php,,XII,szakgimnázium
District 12,Jedlik Ányos Gimnázium,"Budapest, Táncsics Mihály u. 92, 1212",https://www.jedlik.hu/,,XII,gimnázium
District 12,Egressy Béni Református Művészeti Középiskola,"Budapest, II. Rákóczi Ferenc utca 121, 1211",,,XII,
District 12,Szamos Mátyás Szakgimnázium,"Budapest, Petőfi tér 1, 1212",http://csepven.hu/,,XII,szakgimnázium
District 12,Fodor József Szakképző Iskola,"Budapest, Tejút u. 10-12, 1214",http://www.fodorj-szeged.sulinet.hu/,,XII,
District 12,Kossuth Lajos Kéttannyelvű Műszaki Szakgimnázium,"Budapest, Kossuth Lajos u. 12, 1211",https://www.kossuth-csepel.hu/index.php?page=main,,XII,szakgimnázium
District 12,Vásárhelyi Pál Kereskedelmi Szakgimnázium,"Budapest, Széchenyi István u. 95, 1212",https://www.vasarhelyi.info/,,XII,szakgimnázium
District 12,Csete Balázs Közgazdasági Szakgimnázium,"Budapest, Csete Balázs u. 6-8, 1215",http://www.csete.sulinet.hu/category/nyitooldal/,,XII,szakgimnázium
District 12,Kempelen Farkas Gimnázium,"Budapest, Közgazdász u. 9-11, 1223",http://www.kfg.hu/,,XII,gimnázium
District 12,Budai Nagy Antal Gimnázium,"Budapest, Anna utca 13-15., 1221",http://www.bna.sulinet.hu/,,XII,gimnázium
District 12,Soós István Borászati és Élelmiszeripari Szakgimnázium és Szakközépiskola,"Budapest, Kossuth Lajos u. 83., 1221",http://borasziskola.hu/,,XII,szakközépiskola
District 12,Qualitas Gimnázium,"Budapest, Tartsay u. 28, 1237",https://qualitasgimnazium.wordpress.com/,,XII,gimnázium
